title,authors,source_language,source,source_url,sitelinks,known_languages,edition_count,flag
The Charterhouse of Parma,Stendhal,fr,gutenberg,https://www.gutenberg.org/ebooks/796,33,(none catalogued),1,
Amadis de Gaula,Garci Rodríguez de Montalvo,es,gutenberg,https://www.gutenberg.org/ebooks/17440,29,spa,8,
L'Assommoir,Émile Zola,fr,gutenberg,https://www.gutenberg.org/ebooks/8558,29,(none catalogued),1,
Wilhelm Meister's Apprenticeship,Johann Wolfgang von Goethe,de,gutenberg,https://www.gutenberg.org/ebooks/36483,27,(none catalogued),5,
Bostan,Saadi,fa,gutenberg,https://www.gutenberg.org/ebooks/60471,26,ger,2,
The True Story of Ah Q,Lu Xun,zh,gutenberg,https://www.gutenberg.org/ebooks/25332,23,chi,1,
Zadig or Destiny,Voltaire,fr,gutenberg,https://www.gutenberg.org/ebooks/18972,23,(none catalogued),1,
La Princesse de Clèves,Madame de Lafayette,fr,gutenberg,https://www.gutenberg.org/ebooks/467,23,fre,4,
The Archipelago on Fire,Jules Verne,fr,gutenberg,https://www.gutenberg.org/ebooks/17660,22,(none catalogued),0,
The Ladies' Paradise,Émile Zola,fr,gutenberg,https://www.gutenberg.org/ebooks/16852,19,(none catalogued),2,
Prometheus,Johann Wolfgang von Goethe,de,gutenberg,https://www.gutenberg.org/ebooks/9260,19,ger,3,
The Confusions of Young Törless,Robert Musil,de,gutenberg,https://www.gutenberg.org/ebooks/34717,17,(none catalogued),0,
Arsene Lupin vs. Herlock Sholmes,Maurice Leblanc,fr,gutenberg,https://www.gutenberg.org/ebooks/40203,14,ger,1,
La Conquête de Plassans,Émile Zola,fr,gutenberg,https://www.gutenberg.org/ebooks/8712,13,fre,19,
Les Chouans,Honoré de Balzac,fr,gutenberg,https://www.gutenberg.org/ebooks/1921,13,fre,29,
Fortunata and Jacinta,Benito Pérez Galdós,es,gutenberg,https://www.gutenberg.org/ebooks/17013,12,spa,1,
Les Caves du Vatican,André Gide,fr,gutenberg,https://www.gutenberg.org/ebooks/6739,12,fre,2,
The Quest of the Absolute,Honoré de Balzac,fr,gutenberg,https://www.gutenberg.org/ebooks/1453,11,(none catalogued),3,
La Maison Tellier,Guy de Maupassant,fr,gutenberg,https://www.gutenberg.org/ebooks/11596,9,fre,23,
La Vieille Fille,Honoré de Balzac,fr,gutenberg,https://www.gutenberg.org/ebooks/1352,9,fre,14,
Facino Cane,Honoré de Balzac,fr,gutenberg,https://www.gutenberg.org/ebooks/1737,9,(none catalogued),1,
La Bourse,Honoré de Balzac,fr,gutenberg,https://www.gutenberg.org/ebooks/1196,9,(none catalogued),1,
Le Curé de village,Honoré de Balzac,fr,gutenberg,https://www.gutenberg.org/ebooks/1899,8,fre,26,
Geschwister Tanner,Robert Walser,de,gutenberg,https://www.gutenberg.org/ebooks/36172,8,ger,7,
La Grenadière,Honoré de Balzac,fr,gutenberg,https://www.gutenberg.org/ebooks/1428,7,(none catalogued),1,
Les Secrets de la princesse de Cadignan,Honoré de Balzac,fr,gutenberg,https://www.gutenberg.org/ebooks/1344,7,fre,3,
Pierre Grassou,Honoré de Balzac,fr,gutenberg,https://www.gutenberg.org/ebooks/1230,7,fre,2,
Une fille d'Ève,Honoré de Balzac,fr,gutenberg,https://www.gutenberg.org/ebooks/1481,7,fre,7,
Un drame au bord de la mer,Honoré de Balzac,fr,gutenberg,https://www.gutenberg.org/ebooks/1427,7,(none catalogued),1,
Das Käthchen von Heilbronn,,de,gutenberg,https://www.gutenberg.org/ebooks/6646,7,ger,1,
La scienza in cucina e l'arte di mangiar bene,Pellegrino Artusi,it,gutenberg,https://www.gutenberg.org/ebooks/59047,7,ita,16,
Contes de la bécasse,Guy de Maupassant,fr,gutenberg,https://www.gutenberg.org/ebooks/11714,6,fre; spa,19,
An Episode Under the Terror,Honoré de Balzac,fr,gutenberg,https://www.gutenberg.org/ebooks/1456,6,(none catalogued),1,
Le Contrat de mariage,Honoré de Balzac,fr,gutenberg,https://www.gutenberg.org/ebooks/1556,6,fre,5,
Clair de lune,Guy de Maupassant,fr,gutenberg,https://www.gutenberg.org/ebooks/11199,5,fre,14,
