title,authors,gutenberg_id,sitelinks,missing_language,language_marc,speakers_millions,opportunity_score
Book of Mormon,Joseph Smith; Mormon,17,126,Chinese,chi,1299.9,1299.9
A Journey to the Centre of the Earth,Jules Verne,18857,64,Chinese,chi,1299.9,660.267
United States Bill of Rights,,2,63,Chinese,chi,1299.9,649.95
Critique of Pure Reason,Immanuel Kant,4280,59,Chinese,chi,1299.9,608.683
The Last of the Mohicans,James Fenimore Cooper,940,52,Chinese,chi,1299.9,536.467
Book of Mormon,Joseph Smith; Mormon,17,126,Spanish,spa,485.0,485.0
Book of Mormon,Joseph Smith; Mormon,17,126,Arabic,ara,315.4,315.4
Book of Mormon,Joseph Smith; Mormon,17,126,Bangla,ben,300.0,300.0
Book of Mormon,Joseph Smith; Mormon,17,126,Portuguese,por,254.3,254.3
Pride and Prejudice,Jane Austen,1342,99,Arabic,ara,315.4,247.814
A Journey to the Centre of the Earth,Jules Verne,18857,64,Spanish,spa,485.0,246.349
United States Bill of Rights,,2,63,Spanish,spa,485.0,242.5
Pride and Prejudice,Jane Austen,1342,99,Bangla,ben,300.0,235.714
Robinson Crusoe,Daniel Defoe,12623,98,Bangla,ben,300.0,233.333
Critique of Pure Reason,Immanuel Kant,4280,59,Spanish,spa,485.0,227.103
Treasure Island,Robert Louis Stevenson,120,85,Arabic,ara,315.4,212.77
The Great Gatsby,F. Scott Fitzgerald,64317,84,Arabic,ara,315.4,210.267
Book of Mormon,Joseph Smith; Mormon,17,126,French,fre,208.2,208.2
Oliver Twist,Charles Dickens,56586,83,Arabic,ara,315.4,207.763
Ulysses,James Joyce,4300,83,Arabic,ara,315.4,207.763
Treasure Island,Robert Louis Stevenson,120,85,Bangla,ben,300.0,202.381
The Great Gatsby,F. Scott Fitzgerald,64317,84,Bangla,ben,300.0,200.0
Book of Mormon,Joseph Smith; Mormon,17,126,Indonesian,ind,199.0,199.0
Oliver Twist,Charles Dickens,56586,83,Bangla,ben,300.0,197.619
Ulysses,James Joyce,4300,83,Bangla,ben,300.0,197.619
The Picture of Dorian Gray,Oscar Wilde,4078,82,Bangla,ben,300.0,195.238
The Adventures of Tom Sawyer,Mark Twain,74,76,Arabic,ara,315.4,190.241
A Christmas Carol,Charles Dickens,46,75,Arabic,ara,315.4,187.738
Dracula,Bram Stoker,345,75,Arabic,ara,315.4,187.738
A Christmas Carol,Charles Dickens,46,75,Bangla,ben,300.0,178.571
Dracula,Bram Stoker,345,75,Bangla,ben,300.0,178.571
Great Expectations,Charles Dickens,1400,69,Arabic,ara,315.4,172.719
The Jungle Book,,236,69,Arabic,ara,315.4,172.719
Treasure Island,Robert Louis Stevenson,120,85,Portuguese,por,254.3,171.552
Ulysses,James Joyce,4300,83,Portuguese,por,254.3,167.515
Great Expectations,Charles Dickens,1400,69,Bangla,ben,300.0,164.286
The Jungle Book,,236,69,Bangla,ben,300.0,164.286
The Merchant of Venice,William Shakespeare,2243,68,Bangla,ben,300.0,161.905
David Copperfield,Charles Dickens,766,68,Bangla,ben,300.0,161.905
A Journey to the Centre of the Earth,Jules Verne,18857,64,Arabic,ara,315.4,160.203
United States Bill of Rights,,2,63,Arabic,ara,315.4,157.7
Robinson Crusoe,Daniel Defoe,12623,98,Indonesian,ind,199.0,154.778
A Tale of Two Cities,Charles Dickens,98,65,Bangla,ben,300.0,154.762
Book of Mormon,Joseph Smith; Mormon,17,126,Russian,rus,154.0,154.0
A Study in Scarlet,Arthur Conan Doyle,244,61,Arabic,ara,315.4,152.694
Through the Looking-Glass,Lewis Carroll,12,61,Arabic,ara,315.4,152.694
A Journey to the Centre of the Earth,Jules Verne,18857,64,Bangla,ben,300.0,152.381
Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,43,60,Arabic,ara,315.4,150.19
The Hound of the Baskervilles,Arthur Conan Doyle,3070,63,Bangla,ben,300.0,150.0
United States Bill of Rights,,2,63,Bangla,ben,300.0,150.0
Critique of Pure Reason,Immanuel Kant,4280,59,Arabic,ara,315.4,147.687
Leviathan,Thomas Hobbes,3207,59,Arabic,ara,315.4,147.687
A Study in Scarlet,Arthur Conan Doyle,244,61,Bangla,ben,300.0,145.238
Through the Looking-Glass,Lewis Carroll,12,61,Bangla,ben,300.0,145.238
Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,43,60,Bangla,ben,300.0,142.857
Critique of Pure Reason,Immanuel Kant,4280,59,Bangla,ben,300.0,140.476
Leviathan,Thomas Hobbes,3207,59,Bangla,ben,300.0,140.476
Sense and Sensibility,Jane Austen,161,56,Arabic,ara,315.4,140.178
The Jungle Book,,236,69,Portuguese,por,254.3,139.26
Treasure Island,Robert Louis Stevenson,120,85,Indonesian,ind,199.0,134.246
Sense and Sensibility,Jane Austen,161,56,Bangla,ben,300.0,133.333
Oliver Twist,Charles Dickens,56586,83,Indonesian,ind,199.0,131.087
Ulysses,James Joyce,4300,83,Indonesian,ind,199.0,131.087
The Adventures of Sherlock Holmes,Arthur Conan Doyle,1661,52,Arabic,ara,315.4,130.165
The Last of the Mohicans,James Fenimore Cooper,940,52,Arabic,ara,315.4,130.165
The Picture of Dorian Gray,Oscar Wilde,4078,82,Indonesian,ind,199.0,129.508
A Journey to the Centre of the Earth,Jules Verne,18857,64,Portuguese,por,254.3,129.168
Book of Mormon,Joseph Smith; Mormon,17,126,Japanese,jpn,128.0,128.0
United States Bill of Rights,,2,63,Portuguese,por,254.3,127.15
The Call of the Wild,Jack London,215,53,Bangla,ben,300.0,126.19
Book of Mormon,Joseph Smith; Mormon,17,126,Punjabi,pan,125.0,125.0
The Adventures of Sherlock Holmes,Arthur Conan Doyle,1661,52,Bangla,ben,300.0,123.81
The Last of the Mohicans,James Fenimore Cooper,940,52,Bangla,ben,300.0,123.81
Little Women,Louisa May Alcott,514,52,Bangla,ben,300.0,123.81
The Adventures of Tom Sawyer,Mark Twain,74,76,Indonesian,ind,199.0,120.032
Critique of Pure Reason,Immanuel Kant,4280,59,Portuguese,por,254.3,119.077
A Christmas Carol,Charles Dickens,46,75,Indonesian,ind,199.0,118.452
Dracula,Bram Stoker,345,75,Indonesian,ind,199.0,118.452
Great Expectations,Charles Dickens,1400,69,Indonesian,ind,199.0,108.976
The Jungle Book,,236,69,Indonesian,ind,199.0,108.976
The Merchant of Venice,William Shakespeare,2243,68,Indonesian,ind,199.0,107.397
David Copperfield,Charles Dickens,766,68,Indonesian,ind,199.0,107.397
A Journey to the Centre of the Earth,Jules Verne,18857,64,French,fre,208.2,105.752
United States Bill of Rights,,2,63,French,fre,208.2,104.1
The Great Gatsby,F. Scott Fitzgerald,64317,84,Russian,rus,154.0,102.667
A Tale of Two Cities,Charles Dickens,98,65,Indonesian,ind,199.0,102.659
A Journey to the Centre of the Earth,Jules Verne,18857,64,Indonesian,ind,199.0,101.079
Robinson Crusoe,Daniel Defoe,12623,98,Japanese,jpn,128.0,99.556
The Hound of the Baskervilles,Arthur Conan Doyle,3070,63,Indonesian,ind,199.0,99.5
United States Bill of Rights,,2,63,Indonesian,ind,199.0,99.5
Critique of Pure Reason,Immanuel Kant,4280,59,French,fre,208.2,97.49
A Study in Scarlet,Arthur Conan Doyle,244,61,Indonesian,ind,199.0,96.341
Through the Looking-Glass,Lewis Carroll,12,61,Indonesian,ind,199.0,96.341
Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,43,60,Indonesian,ind,199.0,94.762
Critique of Pure Reason,Immanuel Kant,4280,59,Indonesian,ind,199.0,93.183
Leviathan,Thomas Hobbes,3207,59,Indonesian,ind,199.0,93.183
Sense and Sensibility,Jane Austen,161,56,Indonesian,ind,199.0,88.444
Treasure Island,Robert Louis Stevenson,120,85,Punjabi,pan,125.0,84.325
The Call of the Wild,Jack London,215,53,Indonesian,ind,199.0,83.706
The Great Gatsby,F. Scott Fitzgerald,64317,84,Punjabi,pan,125.0,83.333
Book of Mormon,Joseph Smith; Mormon,17,126,Marathi,mar,83.1,83.1
