marc,iso1,name,speakers_millions
chi,zh,Chinese,1299.9
eng,en,English,753.4
spa,es,Spanish,485.0
ara,ar,Arabic,315.4
ben,bn,Bangla,300.0
por,pt,Portuguese,254.3
fre,fr,French,208.2
ind,id,Indonesian,199.0
rus,ru,Russian,154.0
jpn,ja,Japanese,128.0
pan,pa,Punjabi,125.0
mar,mr,Marathi,83.1
tur,tr,Turkish,82.2
tel,te,Telugu,82.0
kor,ko,Korean,77.3
may,ms,Malay,77.0
ger,de,German,76.5
vie,vi,Vietnamese,76.0
tam,ta,Tamil,75.0
urd,ur,Urdu,68.6
jav,jv,Javanese,68.3
ita,it,Italian,64.8
guj,gu,Gujarati,56.4
per,fa,Persian,45.0
hau,ha,Hausa,43.9
kan,kn,Kannada,43.6
pol,pl,Polish,39.7
pus,ps,Pashto,39.0
yor,yo,Yoruba,37.8
mal,ml,Malayalam,37.1
ori,or,Odia,34.5
bur,my,Burmese,32.9
sun,su,Sundanese,32.4
uzb,uz,Uzbek,27.0
ibo,ig,Igbo,27.0
ukr,uk,Ukrainian,26.9
snd,sd,Sindhi,24.6
rum,ro,Romanian,24.3
orm,om,Oromo,24.0
ful,ff,Fula,24.0
tgl,tl,Tagalog,23.6
aze,az,Azerbaijani,23.0
amh,am,Amharic,21.9
kur,ku,Kurdish,21.0
tha,th,Thai,20.7
lin,ln,Lingala,20.0
sh,sh,Serbo-Croatian,19.0
mlg,mg,Malagasy,18.0
khm,km,Khmer,16.6
som,so,Somali,16.2
zha,za,Zhuang,16.0
tuk,tk,Turkmen,16.0
nep,ne,Nepali,15.8
swa,sw,Swahili,15.4
sin,si,Sinhala,15.3
asm,as,Assamese,15.3
ell,el,Modern Greek,15.0
kau,kr,Kanuri,15.0
tgk,tg,Tajik,14.0
tso,ts,Tsonga,13.0
kaz,kk,Kazakh,12.9
hun,hu,Hungarian,12.6
zul,zu,Zulu,12.1
kin,rw,Kinyarwanda,12.1
nya,ny,Chewa,12.0
aka,ak,Akan,11.0
run,rn,Kirundi,10.8
ces,cs,Czech,10.7
uig,ug,Uyghur,10.4
afr,af,Afrikaans,10.3
hat,ht,Haitian Creole,9.6
heb,he,Hebrew,9.3
swe,sv,Swedish,9.2
bul,bg,Bulgarian,9.0
que,qu,Quechua,8.9
sna,sn,Shona,8.3
xho,xh,Xhosa,8.2
bel,be,Belarusian,7.6
tir,ti,Tigrinya,7.5
hrv,hr,Croatian,7.0
kas,ks,Kashmiri,6.9
arm,hy,Armenian,6.7
kik,ki,Gikuyu,6.6
alb,sq,Albanian,6.2
dan,da,Danish,6.0
slk,sk,Slovak,6.0
sot,st,Sesotho,6.0
fin,fi,Finnish,5.4
lao,lo,Lao,5.2
nor,no,Norwegian,5.2
mon,mn,Mongolian,5.2
tat,tt,Tatar,5.2
kon,kg,Kongo,5.0
cat,ca,Catalan,4.9
sag,sg,Sango,4.6
kir,ky,Kyrgyz,4.6
tsn,tn,Tswana,4.5
grn,gn,Guarani,4.5
nno,nn,Nynorsk,4.3
bam,bm,Bambara,4.2
lug,lg,Luganda,4.1
aym,ay,Aymara,4.0
lit,lt,Lithuanian,4.0
nob,nb,Bokmål,4.0
geo,ka,Georgian,3.7
wol,wo,Wolof,3.7
ewe,ee,Ewe,3.0
twi,tw,Twi,3.0
slv,sl,Slovene,2.4
glg,gl,Galician,2.4
ssw,ss,Swazi,2.0
epo,eo,Esperanto,2.0
mac,mk,Macedonian,2.0
iii,ii,Nuosu,2.0
aar,aa,Afar,1.6
nde,nd,Northern Ndebele,1.6
lav,lv,Latvian,1.5
che,ce,Chechen,1.4
ven,ve,Venda,1.3
srd,sc,Sardinian,1.3
est,et,Estonian,1.3
bak,ba,Bashkir,1.2
tib,bo,Tibetan,1.2
yid,yi,Yiddish,1.0
fry,fy,West Frisian,0.8
ndo,ng,Ndonga,0.8
ava,av,Avar,0.8
eus,eu,Basque,0.8
chv,cv,Chuvash,0.7
cym,cy,Welsh,0.7
nbl,nr,Southern Ndebele,0.6
wln,wa,Walloon,0.6
mlt,mt,Maltese,0.6
oci,oc,Occitan,0.5
smo,sm,Samoan,0.4
ltz,lb,Luxembourgish,0.4
fij,fj,Fijian,0.3
div,dv,Maldivian,0.3
isl,is,Icelandic,0.3
kua,kj,Kwanyama,0.2
dzo,dz,Dzongkha,0.2
her,hz,Herero,0.2
kom,kv,Komi,0.2
mri,mi,Māori,0.2
abk,ab,Abkhaz,0.2
ton,to,Tongan,0.2
hmo,ho,Hiri Motu,0.2
nav,nv,Navajo,0.2
cos,co,Corsican,0.2
gle,ga,Irish,0.1
bre,br,Breton,0.1
fao,fo,Faroese,0.1
tah,ty,Tahitian,0.1
cha,ch,Chamorro,0.1
mah,mh,Marshallese,0.1
gla,gd,Scottish Gaelic,0.1
kal,kl,Greenlandic,0.1
roh,rm,Romansh,0.0
iku,iu,Inuktitut,0.0
sme,se,Northern Sami,0.0
oji,oj,Ojibwe,0.0
cre,cr,Cree,0.0
bis,bi,Bislama,0.0
nau,na,Nauruan,0.0
arg,an,Aragonese,0.0
ipk,ik,Iñupiaq,0.0
glv,gv,Manx,0.0
cor,kw,Cornish,0.0
